year,structure,n_periods,total_premium_paid,total_credit_received,realized_pnl,realized_pnl_pct_nlv
2017,Fly -2/-5/-8,12,38401.0,0.0,-38401.0,-3.84
2017,PutSpread ATM/-10,12,136867.0,0.0,-104139.0,-10.414
2017,LongPut -10,12,118.0,0.0,-118.0,-0.012
2017,Ratio2x1 -8/-15,12,0.0,822.0,822.0,0.082
2017,Ratio2x1 -10/-20,12,0.0,118.0,118.0,0.012
2017,VIXLadder 25+35+45,12,0.0,0.0,0.0,0.0
2017,VIXWeekly 25C,12,0.0,0.0,0.0,0.0
2023,Fly -2/-5/-8,12,44947.0,0.0,-12593.0,-1.259
2023,PutSpread ATM/-10,12,202244.0,0.0,-119370.0,-11.937
2023,LongPut -10,12,5407.0,0.0,-5407.0,-0.541
2023,Ratio2x1 -8/-15,12,0.0,12456.0,12456.0,1.246
2023,Ratio2x1 -10/-20,12,0.0,5372.0,5372.0,0.537
2023,VIXLadder 25+35+45,12,44887.0,0.0,-44887.0,-4.489
2023,VIXWeekly 25C,12,44900.0,0.0,-44900.0,-4.49
