structure,underlying,mean_conv,median_conv,n,mean_ann_cost_pct
Ratio2x1 -10/-20,IWM,inf,0.0,7,-6.125714285714286
Ratio2x1 -8/-15,SPY,inf,0.0,7,-0.6542857142857145
Ratio2x1 -8/-15,SPX,inf,0.0,7,-0.7314285714285715
Ratio2x1 -8/-15,QQQ,inf,0.0,7,-1.6357142857142857
Ratio2x1 -8/-15,IWM,inf,0.0,7,-1.8985714285714284
Ladder 25+35+45 (30DTE),VIX,216.93285714285716,16.89,7,7.298571428571429
LongPut -10,SPY,213.98142857142858,29.96,7,13.124285714285715
LongPut -10,SPX,212.19857142857146,30.46,7,12.991428571428571
WeeklyCall K=30.0,VIX,61.79857142857143,0.64,7,13.551428571428572
LongPut -10,IWM,42.228571428571435,11.73,7,16.874285714285712
LongPut -10,QQQ,40.16285714285714,13.43,7,16.377142857142857
WeeklyCall K=25.0,VIX,5.507142857142858,0.68,7,14.614285714285714
PutSpread ATM/-10,SPY,2.6671428571428573,2.77,7,28.365714285714287
PutSpread ATM/-10,SPX,2.662857142857143,2.78,7,28.91857142857143
PutSpread ATM/-10,IWM,2.144285714285714,2.05,7,33.78285714285714
PutSpread ATM/-10,QQQ,2.1185714285714288,2.03,7,33.26857142857143
Fly -2/-5/-8,SPX,0.88,0.8,7,3.5585714285714287
Fly -2/-5/-8,SPY,0.8771428571428571,0.8,7,3.39
Fly -2/-5/-8,QQQ,0.8071428571428572,0.69,7,3.2257142857142855
Fly -2/-5/-8,IWM,0.7842857142857144,0.69,7,3.132857142857143
Ratio2x1 -10/-20,QQQ,0.0,0.0,7,-5.861428571428571
Ratio2x1 -10/-20,SPX,0.0,0.0,7,-4.1814285714285715
Ratio2x1 -10/-20,SPY,0.0,0.0,7,-4.134285714285714
