structure,underlying,mean_pnl,median_pnl,pct_winning,mean_cost
Ladder 25+35+45 (30DTE),VIX,295025.6,7572.0,80.0,6429.2
LongPut -10,IWM,37154.6,27832.0,80.0,21210.2
PutSpread ATM/-10,SPX,26825.6,30495.0,100.0,30651.8
LongPut -10,SPX,25578.2,21317.0,80.0,17004.0
PutSpread ATM/-10,SPY,24867.8,26411.0,100.0,30208.6
LongPut -10,QQQ,24199.0,29372.0,80.0,21053.4
LongPut -10,SPY,22935.2,18996.0,80.0,17193.4
PutSpread ATM/-10,IWM,22411.6,31324.0,100.0,35669.0
PutSpread ATM/-10,QQQ,19393.0,26044.0,80.0,35264.8
Ratio2x1 -8/-15,IWM,10165.6,-1387.0,40.0,-1118.2
Ratio2x1 -8/-15,QQQ,1868.0,-1018.0,40.0,-958.4
WeeklyCall K=30.0,VIX,992.4,0.0,40.0,2638.2
WeeklyCall K=25.0,VIX,968.6,0.0,40.0,2930.4
Fly -2/-5/-8,SPY,-221.8,-623.0,40.0,2988.6
Ratio2x1 -8/-15,SPX,-253.8,-11166.0,20.0,-221.6
Fly -2/-5/-8,SPX,-292.0,-702.0,40.0,3149.8
Fly -2/-5/-8,QQQ,-499.2,-632.0,40.0,2774.2
Fly -2/-5/-8,IWM,-542.2,-1010.0,40.0,2724.8
Ratio2x1 -8/-15,SPY,-804.8,-10237.0,20.0,-139.2
Ratio2x1 -10/-20,IWM,-2724.2,-9286.0,20.0,-6949.8
Ratio2x1 -10/-20,QQQ,-6982.0,-5697.0,20.0,-6985.8
Ratio2x1 -10/-20,SPY,-7680.6,-10475.0,20.0,-5132.8
Ratio2x1 -10/-20,SPX,-7855.0,-9535.0,20.0,-5186.4
