event,day,date,VIX,VIX9D,VIX3M,VVIX,SKEW,RV21d,VRP,VIX9D_over_VIX,VIX_over_VIX3M
2011-08-08 US debt downgrade,T-10,2011-07-25,19.35,20.4,20.26,90.2,119.45,15.15,4.2,1.054,0.955
2011-08-08 US debt downgrade,T-5,2011-08-01,23.66,26.85,22.38,95.89,118.64,15.15,8.51,1.135,1.057
2011-08-08 US debt downgrade,T-2,2011-08-04,31.66,39.89,28.56,121.76,113.17,22.92,8.74,1.26,1.109
2015-08-24 China Black Monday,T-10,2015-08-10,12.23,11.44,14.99,80.21,121.54,10.45,1.78,0.935,0.816
2015-08-24 China Black Monday,T-5,2015-08-17,13.02,11.29,15.21,87.35,120.27,10.04,2.98,0.867,0.856
2015-08-24 China Black Monday,T-2,2015-08-20,19.14,20.88,18.83,108.75,118.76,12.52,6.62,1.091,1.016
2018-02-05 Volmageddon,T-10,2018-01-22,11.03,10.86,12.99,99.68,127.18,6.68,4.35,0.985,0.849
2018-02-05 Volmageddon,T-5,2018-01-29,13.84,14.91,14.99,110.01,118.8,7.93,5.91,1.077,0.923
2018-02-05 Volmageddon,T-2,2018-02-01,13.47,13.86,14.72,105.77,120.59,8.72,4.75,1.029,0.915
2020-03-16 COVID-1,T-10,2020-03-02,33.42,42.17,27.7,114.69,126.84,29.91,3.51,1.262,1.206
2020-03-16 COVID-1,T-5,2020-03-09,54.46,70.3,43.05,137.19,121.57,43.39,11.07,1.291,1.265
2020-03-16 COVID-1,T-2,2020-03-12,75.47,103.56,57.24,155.05,115.79,58.51,16.96,1.372,1.318
2020-03-23 COVID-2,T-10,2020-03-09,54.46,70.3,43.05,137.19,121.57,43.39,11.07,1.291,1.265
2020-03-23 COVID-2,T-5,2020-03-16,82.69,106.66,67.7,207.59,114.66,79.34,3.35,1.29,1.221
2020-03-23 COVID-2,T-2,2020-03-19,72.0,91.02,69.47,181.76,115.44,84.28,-12.28,1.264,1.036
2022-03-08 hike-cycle,T-10,2022-02-22,28.81,28.62,29.11,130.69,128.33,21.69,7.12,0.993,0.99
2022-03-08 hike-cycle,T-5,2022-03-01,33.32,34.8,32.59,132.8,134.42,23.15,10.17,1.044,1.022
2022-03-08 hike-cycle,T-2,2022-03-04,31.98,31.11,32.34,127.85,133.28,22.66,9.32,0.973,0.989
2024-08-05 JPY unwind,T-10,2024-07-22,14.91,14.79,16.09,93.66,141.38,10.17,4.74,0.992,0.927
2024-08-05 JPY unwind,T-5,2024-07-29,16.6,17.39,17.16,93.51,128.93,13.76,2.84,1.048,0.967
2024-08-05 JPY unwind,T-2,2024-08-01,18.59,19.54,19.14,111.18,136.69,15.45,3.14,1.051,0.971
