event,underlying,structure,entry,peak,spot_entry,spot_peak,spx_dd_pct,iv_entry,iv_peak,contracts,cost_per_unit,cost_total,ann_cost_pct,peak_value_per_unit,peak_value_total,peak_pnl,convexity,delta,gamma,vega,theta,provenance
2011-08-08 US debt downgrade,SPX,Fly -2/-5/-8,2011-08-01,2011-08-08,1286.94,1119.46,-13.01,23.7,48.0,8,5.07,4055.0,4.23,2.78,2226.0,-1829.0,0.55,-0.037,-0.247,-0.09,0.04,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPX,PutSpread ATM/-10,2011-08-01,2011-08-08,1286.94,1119.46,-13.01,23.7,48.0,8,32.45,25960.0,27.07,95.85,76677.0,50717.0,2.95,-0.401,2.896,1.09,-0.31,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPX,LongPut -10,2011-08-01,2011-08-08,1286.94,1119.46,-13.01,23.7,48.0,8,2.67,2138.0,2.23,81.41,65129.0,62990.0,30.46,-0.063,1.319,0.5,-0.16,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPX,Ratio2x1 -8/-15,2011-08-01,2011-08-08,1286.94,1119.46,-13.01,23.7,48.0,8,-4.47,-3576.0,-3.73,-3.68,-2941.0,635.0,0.0,0.089,-1.402,-0.53,0.17,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPX,Ratio2x1 -10/-20,2011-08-01,2011-08-08,1286.94,1119.46,-13.01,23.7,48.0,8,-2.63,-2102.0,-2.19,-34.28,-27422.0,-25320.0,0.0,0.062,-1.256,-0.47,0.15,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPY,Fly -2/-5/-8,2011-08-01,2011-08-08,128.78,112.26,-12.83,23.7,48.0,78,0.51,3957.0,4.13,0.28,2195.0,-1762.0,0.55,-0.037,-2.464,-0.01,0.0,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPY,PutSpread ATM/-10,2011-08-01,2011-08-08,128.78,112.26,-12.83,23.7,48.0,78,3.25,25328.0,26.41,9.53,74323.0,48995.0,2.93,-0.401,28.939,0.11,-0.03,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPY,LongPut -10,2011-08-01,2011-08-08,128.78,112.26,-12.83,23.7,48.0,78,0.27,2086.0,2.18,8.01,62501.0,60415.0,29.96,-0.063,13.177,0.05,-0.02,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPY,Ratio2x1 -8/-15,2011-08-01,2011-08-08,128.78,112.26,-12.83,23.7,48.0,78,-0.45,-3489.0,-3.64,-0.41,-3183.0,306.0,0.0,0.089,-14.01,-0.05,0.02,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,SPY,Ratio2x1 -10/-20,2011-08-01,2011-08-08,128.78,112.26,-12.83,23.7,48.0,78,-0.26,-2051.0,-2.14,-3.41,-26605.0,-24554.0,0.0,0.062,-12.555,-0.05,0.02,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,QQQ,Fly -2/-5/-8,2011-08-01,2011-08-08,57.73,50.59,-12.37,28.6,50.9,173,0.21,3559.0,3.71,0.12,2146.0,-1413.0,0.6,-0.023,-4.757,-0.0,0.0,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,QQQ,PutSpread ATM/-10,2011-08-01,2011-08-08,57.73,50.59,-12.37,28.6,50.9,173,1.67,28972.0,30.21,4.15,71838.0,42866.0,2.48,-0.364,43.071,0.04,-0.01,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,QQQ,LongPut -10,2011-08-01,2011-08-08,57.73,50.59,-12.37,28.6,50.9,173,0.25,4410.0,4.6,3.61,62511.0,58101.0,14.17,-0.101,34.542,0.03,-0.01,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,QQQ,Ratio2x1 -8/-15,2011-08-01,2011-08-08,57.73,50.59,-12.37,28.6,50.9,173,-0.31,-5370.0,-5.6,-0.07,-1172.0,4197.0,0.0,0.097,-21.275,-0.02,0.01,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,QQQ,Ratio2x1 -10/-20,2011-08-01,2011-08-08,57.73,50.59,-12.37,28.6,50.9,173,-0.24,-4147.0,-4.32,-1.42,-24525.0,-20378.0,0.0,0.092,-29.283,-0.03,0.01,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,IWM,Fly -2/-5/-8,2011-08-01,2011-08-08,79.22,65.12,-17.8,33.0,63.8,126,0.26,3239.0,3.38,0.11,1416.0,-1823.0,0.44,-0.015,-2.748,-0.01,0.0,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,IWM,PutSpread ATM/-10,2011-08-01,2011-08-08,79.22,65.12,-17.8,33.0,63.8,126,2.52,31693.0,33.05,6.34,79838.0,48145.0,2.52,-0.333,22.696,0.05,-0.02,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,IWM,LongPut -10,2011-08-01,2011-08-08,79.22,65.12,-17.8,33.0,63.8,126,0.56,7069.0,7.37,8.49,106924.0,99855.0,15.13,-0.132,26.334,0.05,-0.02,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,IWM,Ratio2x1 -8/-15,2011-08-01,2011-08-08,79.22,65.12,-17.8,33.0,63.8,126,-0.52,-6591.0,-6.87,2.11,26624.0,33215.0,inf,0.09,-8.603,-0.02,0.01,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,IWM,Ratio2x1 -10/-20,2011-08-01,2011-08-08,79.22,65.12,-17.8,33.0,63.8,126,-0.49,-6225.0,-6.49,-0.96,-12137.0,-5912.0,0.0,0.108,-18.844,-0.04,0.02,"BSM estimate, not listed mid"
2011-08-08 US debt downgrade,VIX,WeeklyCall K=25.0,2011-08-01,2011-08-08,23.02,43.05,87.01,95.9,134.6,95,0.52,4969.0,25.91,18.06,171527.0,166558.0,34.52,0.291,112.237,0.01,-0.08,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2011-08-08 US debt downgrade,VIX,WeeklyCall K=30.0,2011-08-01,2011-08-08,23.02,43.05,87.01,95.9,134.6,1640,0.03,5000.0,26.07,13.06,2141299.0,2136299.0,428.28,0.027,20.575,0.0,-0.01,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2011-08-08 US debt downgrade,VIX,Ladder 25+35+45 (30DTE),2011-08-01,2011-08-08,23.66,48.0,102.87,95.9,134.6,24,2.02,4851.0,5.9,34.14,81938.0,77087.0,16.89,0.536,91.426,0.04,-0.06,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2015-08-24 China Black Monday,SPX,Fly -2/-5/-8,2015-08-17,2015-08-24,2102.44,1893.21,-9.95,13.0,40.7,5,8.16,4079.0,4.25,6.0,2999.0,-1080.0,0.74,-0.118,0.731,0.4,-0.05,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPX,PutSpread ATM/-10,2015-08-17,2015-08-24,2102.44,1893.21,-9.95,13.0,40.7,5,29.8,14898.0,15.54,142.58,71289.0,56392.0,4.79,-0.451,4.561,2.52,-0.36,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPX,LongPut -10,2015-08-17,2015-08-24,2102.44,1893.21,-9.95,13.0,40.7,5,0.08,41.0,0.04,84.43,42216.0,42174.0,1020.07,-0.003,0.114,0.06,-0.01,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPX,Ratio2x1 -8/-15,2015-08-17,2015-08-24,2102.44,1893.21,-9.95,13.0,40.7,5,-0.44,-220.0,-0.23,-25.5,-12751.0,-12531.0,0.0,0.014,-0.432,-0.24,0.04,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPX,Ratio2x1 -10/-20,2015-08-17,2015-08-24,2102.44,1893.21,-9.95,13.0,40.7,5,-0.08,-41.0,-0.04,-52.43,-26214.0,-26173.0,0.0,0.003,-0.114,-0.06,0.01,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPY,Fly -2/-5/-8,2015-08-17,2015-08-24,210.59,189.5,-10.01,13.0,40.7,47,0.82,3840.0,4.01,0.6,2815.0,-1025.0,0.73,-0.118,7.302,0.04,-0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPY,PutSpread ATM/-10,2015-08-17,2015-08-24,210.59,189.5,-10.01,13.0,40.7,47,2.98,14027.0,14.63,14.32,67326.0,53299.0,4.8,-0.451,45.539,0.25,-0.04,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPY,LongPut -10,2015-08-17,2015-08-24,210.59,189.5,-10.01,13.0,40.7,47,0.01,39.0,0.04,8.52,40038.0,39999.0,1027.5,-0.003,1.136,0.01,-0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPY,Ratio2x1 -8/-15,2015-08-17,2015-08-24,210.59,189.5,-10.01,13.0,40.7,47,-0.04,-207.0,-0.22,-2.55,-11991.0,-11784.0,0.0,0.014,-4.316,-0.02,0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,SPY,Ratio2x1 -10/-20,2015-08-17,2015-08-24,210.59,189.5,-10.01,13.0,40.7,47,-0.01,-39.0,-0.04,-5.28,-24802.0,-24763.0,0.0,0.003,-1.136,-0.01,0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,QQQ,Fly -2/-5/-8,2015-08-17,2015-08-24,111.43,98.46,-11.64,16.3,49.2,90,0.47,4228.0,4.41,0.25,2283.0,-1945.0,0.54,-0.084,1.847,0.0,0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,QQQ,PutSpread ATM/-10,2015-08-17,2015-08-24,111.43,98.46,-11.64,16.3,49.2,90,2.0,18018.0,18.79,7.85,70673.0,52655.0,3.92,-0.445,64.174,0.12,-0.02,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,QQQ,LongPut -10,2015-08-17,2015-08-24,111.43,98.46,-11.64,16.3,49.2,90,0.03,258.0,0.27,6.36,57262.0,57004.0,221.67,-0.014,6.448,0.01,-0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,QQQ,Ratio2x1 -8/-15,2015-08-17,2015-08-24,111.43,98.46,-11.64,16.3,49.2,90,-0.09,-812.0,-0.85,-0.42,-3816.0,-3004.0,0.0,0.039,-14.664,-0.03,0.01,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,QQQ,Ratio2x1 -10/-20,2015-08-17,2015-08-24,111.43,98.46,-11.64,16.3,49.2,90,-0.03,-258.0,-0.27,-2.77,-24910.0,-24652.0,0.0,0.014,-6.443,-0.01,0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,IWM,Fly -2/-5/-8,2015-08-17,2015-08-24,121.63,110.54,-9.12,15.2,41.9,82,0.51,4151.0,4.33,0.35,2874.0,-1276.0,0.69,-0.094,4.073,0.01,-0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,IWM,PutSpread ATM/-10,2015-08-17,2015-08-24,121.63,110.54,-9.12,15.2,41.9,82,2.04,16716.0,17.43,7.88,64620.0,47904.0,3.87,-0.449,64.696,0.14,-0.02,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,IWM,LongPut -10,2015-08-17,2015-08-24,121.63,110.54,-9.12,15.2,41.9,82,0.02,155.0,0.16,4.57,37513.0,37358.0,241.58,-0.01,4.502,0.01,-0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,IWM,Ratio2x1 -8/-15,2015-08-17,2015-08-24,121.63,110.54,-9.12,15.2,41.9,82,-0.07,-561.0,-0.59,-1.4,-11458.0,-10897.0,0.0,0.03,-11.772,-0.03,0.01,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,IWM,Ratio2x1 -10/-20,2015-08-17,2015-08-24,121.63,110.54,-9.12,15.2,41.9,82,-0.02,-155.0,-0.16,-2.83,-23227.0,-23072.0,0.0,0.01,-4.501,-0.01,0.0,"BSM estimate, not listed mid"
2015-08-24 China Black Monday,VIX,WeeklyCall K=25.0,2015-08-17,2015-08-24,14.12,35.94,154.62,87.3,168.8,0,0.0,0.0,0.0,10.95,0.0,0.0,0,0.0,0.005,0.0,-0.0,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2015-08-24 China Black Monday,VIX,WeeklyCall K=30.0,2015-08-17,2015-08-24,14.12,35.94,154.62,87.3,168.8,0,0.0,0.0,0.0,6.08,0.0,0.0,0,0.0,0.0,0.0,-0.0,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2015-08-24 China Black Monday,VIX,Ladder 25+35+45 (30DTE),2015-08-17,2015-08-24,13.02,40.74,212.9,87.3,168.8,2648,0.02,5000.0,6.08,22.67,6003010.0,5998011.0,1200.66,0.016,11.588,0.0,-0.0,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
